Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
141,Yes,No,Germany,No,Employed full-time,NA,NA,20 to 99 employees,NA,9-11 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",NA,NA,Neither Agree nor Disagree,Disagree,Agree,JavaScript;Ruby;Rust;HTML;CSS,JavaScript;Ruby;Rust,PostgreSQL;Elasticsearch,SQL Server;PostgreSQL,AWS;iOS;Linux;Mac OS,iOS;Linux;Mac OS;Windows Desktop or Server,React,React,Vim;Visual Studio Code,MacOS,1,Agile;Pair programming;Scrum,Git,Multiple times per day,Yes,No,NA,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Stopped going to a website because of their advertising,4,1,2,3,6,5,7,Algorithms making important decisions,NA,A governmental or other regulatory body,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, and publicly",The person who came up with the idea,Yes,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",NA,I'm not sure,Somewhat interested,Very interested,Somewhat interested,Very interested,Very interested,Between 7:01 - 8:00 AM,5 - 8 hours,1 - 2 hours,Never,Standing desk;Fatigue-relieving floor mat,I don't typically exercise,Male,Straight or heterosexual,NA,White or of European descent,25 - 34 years old,No,NA,The survey was an appropriate length,Neither easy nor difficult
142,Yes,No,Brazil,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Embedded applications or devices developer,15-17 years,9-11 years,Slightly satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,Less than a year ago,5,7,8,3,4,1,10,2,9,6,1,5,2,10,7,8,6,9,11,4,3,4,3,5,1,2,6,7,2,5,4,3,1,I saw an employer’s advertisement,Brazilian reais (R$),6500,NA,NA,BRL,"Trello;Other chat system (IRC, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,NA,NA,Agree,Disagree,Strongly disagree,Assembly;C;C++;Java;Python;Delphi/Object Pascal,Assembly;C;C++;Java;Matlab;Python;Bash/Shell,NA,NA,NA,Android;Arduino;Raspberry Pi,NA,NA,Android Studio;Eclipse,Windows,1,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Kanban;Scrum,Subversion,A few times per week,Yes,I'm not sure/I can't remember,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),2,4,3,1,6,7,5,"Evolving definitions of ""fairness"" in algorithmic versus human decisions","Artificial intelligence surpassing human intelligence (""the singularity"")",A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,I'm not sure,Very interested,Not at all interested,Extremely interested,Somewhat interested,A little bit interested,Between 6:01 - 7:00 AM,5 - 8 hours,1 - 2 hours,Never,Ergonomic keyboard or mouse,I don't typically exercise,Male,Straight or heterosexual,Some college/university study without earning a degree,Black or of African descent;Hispanic or Latino/Latina,35 - 44 years old,No,NA,The survey was too long,Somewhat easy
143,No,Yes,Bulgaria,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Front-end developer;Student,0-2 years,0-2 years,Extremely satisfied,Moderately satisfied,Doing the same work,I am not interested in new job opportunities,Less than a year ago,4,8,3,2,5,9,10,1,6,7,1,7,10,11,6,4,5,3,8,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I saw an employer’s advertisement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,Yes,No,"Iran, Islamic Republic of...","Yes, part-time",Employed part-time,Primary/elementary school,NA,500 to 999 employees,Back-end developer;Mobile developer,0-2 years,0-2 years,Extremely dissatisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I received bad news about the future of my company or department,U.S. dollars ($),NA,Monthly,NA,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Stack Overflow Enterprise;Trello",Less than a month,Participated in a hackathon,NA,NA,NA,NA,NA,Disagree,Java,Java;PHP;Kotlin;HTML;CSS,SQLite,SQLite,Android;iOS;Linux,Android;Linux,NA,NA,Android Studio;IntelliJ,Linux-based,1,Mob programming,Zip file back-ups,Once a day,I'm not sure/I don't know,NA,NA,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Paid to access a website advertisement-free,NA,NA,NA,NA,NA,NA,NA,"Evolving definitions of ""fairness"" in algorithmic versus human decisions","Evolving definitions of ""fairness"" in algorithmic versus human decisions",A governmental or other regulatory body,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, but only within the company",The developer who wrote it,Unsure / I don't know,5,Less than once per month or monthly,Yes,I have never participated in Q&A on Stack Overflow,"No, I didn't know that Stack Overflow had a jobs board","No, I have one but it's out of date",NA,Yes,Very interested,Somewhat interested,Very interested,Somewhat interested,Extremely interested,Between 8:01 - 9:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,Standing desk,1 - 2 times per week,Male,Bisexual or Queer,They never completed any formal education,South Asian,18 - 24 years old,No,NA,The survey was an appropriate length,Somewhat easy
148,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Front-end developer,6-8 years,6-8 years,Moderately satisfied,Extremely satisfied,Working as an engineering manager or other functional manager,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,10,7,8,5,1,3,6,9,2,4,3,6,1,5,8,2,11,7,4,9,10,5,1,4,3,2,2,3,4,1,7,6,5,I saw an employer’s advertisement,U.S. dollars ($),141625,Yearly,141625,USD,"Confluence;Google Hangouts/Chat;Jira;Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",NA,NA,Agree,Disagree,Strongly disagree,JavaScript;TypeScript;HTML;CSS;Bash/Shell,Go;JavaScript;Rust;Ocaml;HTML;CSS;Bash/Shell,Google BigQuery;Google Cloud Storage;Elasticsearch,NA,Heroku;Firebase,Firebase,Node.js;React,Node.js;React,Atom;Vim,MacOS,1,Agile;Kanban;Scrum,Git,Multiple times per day,No,NA,NA,Somewhat agree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),4,5,2,1,3,7,6,Increasing automation of jobs,Increasing automation of jobs,A governmental or other regulatory body,I'm worried about the dangers more than I'm excited about the possibilities.,No,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Less than once per month or monthly,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,No,Very interested,Extremely interested,Not at all interested,A little bit interested,Extremely interested,Between 6:01 - 7:00 AM,5 - 8 hours,1 - 2 hours,Never,Standing desk;Ergonomic keyboard or mouse,Daily or almost every day,Male,Straight or heterosexual,Associate degree,White or of European descent,25 - 34 years old,No,No,The survey was too long,Very easy
149,Yes,No,Brazil,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",500 to 999 employees,NA,0-2 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",NA,NA,Agree,Agree,Neither Agree nor Disagree,VBA,Python;SQL,NA,NA,NA,Arduino,NA,NA,NA,Windows,1,Scrum,Copying and pasting files to network shares,Multiple times per day,I'm not sure/I don't know,NA,NA,Somewhat disagree,Somewhat disagree,Strongly agree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),2,3,5,1,4,7,6,"Artificial intelligence surpassing human intelligence (""the singularity"")","Artificial intelligence surpassing human intelligence (""the singularity"")",A governmental or other regulatory body,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, but only within the company",The person who came up with the idea,Yes,10 (Very Likely),A few times per week,No,NA,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",NA,NA,Yes,Not at all interested,Very interested,Somewhat interested,Not at all interested,Somewhat interested,Between 6:01 - 7:00 AM,9 - 12 hours,Less than 30 minutes,Never,Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Hispanic or Latino/Latina,25 - 34 years old,No,NA,The survey was an appropriate length,Very easy
150,Yes,Yes,Russian Federation,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Mobile developer,3-5 years,0-2 years,Moderately satisfied,Moderately satisfied,Working as a product manager or project manager,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,Yes,Yes,United Kingdom,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Designer;Full-stack developer,12-14 years,9-11 years,Moderately satisfied,Moderately satisfied,Doing the same work,I am not interested in new job opportunities,More than 4 years ago,5,7,9,4,2,1,8,6,10,3,1,11,6,2,10,4,3,9,5,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,British pounds sterling (£),51183,Yearly,71095,GBP,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",NA,To improve my general technical skills or programming ability;To improve my ability to work on a team with other programmers;Because I find it enjoyable,Agree,Disagree,Disagree,Java;JavaScript;HTML;CSS;Bash/Shell,Java;JavaScript;HTML;CSS;Bash/Shell,NA,NA,Android;IBM Cloud or Watson;Mainframe;Serverless,Android;IBM Cloud or Watson;iOS;Mainframe;Raspberry Pi;Serverless,React,React,Android Studio;Atom;Eclipse;Visual Studio Code,MacOS,2,Agile;Kanban;Pair programming;Scrum,Git,A few times per week,No,NA,NA,Somewhat agree,Somewhat agree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,3,5,2,6,4,7,1,Increasing automation of jobs,Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,Yes,Not at all interested,Not at all interested,A little bit interested,Not at all interested,A little bit interested,Between 6:01 - 7:00 AM,5 - 8 hours,30 - 59 minutes,Never,NA,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,Yes,NA,The survey was an appropriate length,Somewhat easy
152,Yes,No,Ukraine,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)",10 to 19 employees,DevOps specialist,0-2 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Python;Bash/Shell,JavaScript;Python;HTML;CSS;Bash/Shell,MySQL;PostgreSQL;MariaDB,NA,Linux,Heroku;Linux,Django,Django,Visual Studio Code,Linux-based,2,Kanban;Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting asked me to disable it,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,No,No,Germany,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;QA or test developer,6-8 years,3-5 years,Moderately satisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,9,8,2,7,4,1,10,3,6,5,2,10,5,3,11,4,8,9,6,7,1,4,2,5,1,3,7,4,1,2,5,6,3,I received bad news about the future of my company or department,Euros (€),2400,Monthly,35244,EUR,"Confluence;Jira;Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",NA,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;The technology’s online help system",NA,NA,Agree,Neither Agree nor Disagree,Disagree,C#;Java;SQL;Swift;CSS,C#;Java;SQL,MongoDB;MySQL;MariaDB,MongoDB;MySQL;MariaDB,iOS,NA,Spring,Spring,Eclipse;IntelliJ;Notepad++;Sublime Text,Windows,2,Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Pair programming;Scrum,Git,Multiple times per day,No,NA,NA,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Stopped going to a website because of their advertising,5,4,1,3,7,2,6,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,A governmental or other regulatory body,I'm worried about the dangers more than I'm excited about the possibilities.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",NA,Yes,Not at all interested,Somewhat interested,A little bit interested,Somewhat interested,Very interested,Between 7:01 - 8:00 AM,9 - 12 hours,3 - 4 hours,Never,NA,I don't typically exercise,Male,NA,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,No,NA,The survey was an appropriate length,Somewhat difficult
155,No,No,India,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Embedded applications or devices developer,3-5 years,0-2 years,Slightly satisfied,Neither satisfied nor dissatisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,Between 1 and 2 years ago,4,7,8,3,2,5,10,1,6,9,1,5,6,8,11,7,3,4,9,2,10,2,1,5,4,3,4,3,7,1,2,6,5,My job status or other personal status changed,Indian rupees (₹),300000,Yearly,4696,INR,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",Less than a month,NA,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,C;Java,C++;Objective-C,NA,NA,Android,NA,NA,NA,Android Studio;Notepad++,Windows,1,Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies),Zip file back-ups,Weekly or a few times per month,I'm not sure/I don't know,NA,NA,Strongly agree,Strongly agree,Neither agree nor disagree,NA,1,7,3,2,5,4,6,Algorithms making important decisions,"Artificial intelligence surpassing human intelligence (""the singularity"")",A governmental or other regulatory body,"I don't care about it, or I haven't thought about it.",Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,Yes,Somewhat interested,Extremely interested,Very interested,Extremely interested,Extremely interested,Between 6:01 - 7:00 AM,9 - 12 hours,Less than 30 minutes,Never,NA,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",South Asian,25 - 34 years old,No,NA,The survey was an appropriate length,Neither easy nor difficult
156,Yes,Yes,Nepal,"Yes, part-time",Employed full-time,Some college/university study without earning a degree,"Information systems, information technology, or system administration",20 to 99 employees,Data or business analyst;Database administrator;Desktop or enterprise applications developer;QA or test developer;System administrator,0-2 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Full-stack developer,6-8 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C#;JavaScript;SQL;TypeScript;VB.NET;HTML;CSS,C#;JavaScript;SQL;Swift;TypeScript;HTML;CSS,MongoDB;SQL Server,MongoDB;SQL Server;Elasticsearch,Azure;iOS;SharePoint,Android;Arduino;Azure;Google Home;iOS;Raspberry Pi;SharePoint,Angular;.NET Core;Node.js;React;Cordova;Xamarin;TensorFlow,Angular;.NET Core;Node.js;React;Cordova;Xamarin;TensorFlow,Visual Studio;Visual Studio Code;Xcode,Windows,2,Agile;Scrum,Git;Team Foundation Version Control,Multiple times per day,Yes,Yes,I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat agree,Somewhat disagree,Clicked on an online advertisement;Stopped going to a website because of their advertising,4,3,5,2,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,Yes,Yes,Bangladesh,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",10 to 19 employees,Full-stack developer,3-5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",7,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,Yes,No,Pakistan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Full-stack developer,3-5 years,3-5 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,3,1,7,2,4,9,10,5,8,6,1,6,2,7,9,5,10,11,3,4,8,1,2,4,3,5,5,4,7,2,3,1,6,I received negative feedback on my job performance,NA,NA,Monthly,NA,PKR,Confluence,One to three months,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,NA,Agree,Agree,Disagree,C#;JavaScript;SQL;HTML;CSS,C#;JavaScript;Objective-C;SQL;HTML;CSS,SQL Server,"SQL Server;MySQL;PostgreSQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Windows Desktop or Server,Android;iOS;SharePoint,NA,Angular;.NET Core,Sublime Text;Visual Studio,Windows,1,Scrum,NA,Once a day,Yes,No,NA,Somewhat agree,Strongly disagree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad),1,6,4,3,7,2,5,Increasing automation of jobs,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,6,Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",NA,Yes,Not at all interested,Somewhat interested,Somewhat interested,Not at all interested,Very interested,Between 7:01 - 8:00 AM,5 - 8 hours,Less than 30 minutes,1 - 2 times per week,NA,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",South Asian,25 - 34 years old,Yes,NA,The survey was an appropriate length,Very easy
